 1.000000000E-04     4.382934181E+02    -4.094318366E+05     1.199777845E+01    -2.456568901E+05     1.114646394E+00    -1.551843133E-02    -1.754660437E+05    -3.931383135E-01     3.108235772E-02    -1.156093287E-02
 1.023332329E-04     4.481512315E+02    -4.094315585E+05     1.256196192E+01    -2.456566362E+05     1.148143677E+00    -3.863271999E-03    -1.754657028E+05    -3.957603607E-01     2.229591915E-02    -2.302738668E-04
 1.047209055E-04     4.582748555E+02    -4.094312779E+05     1.315270424E+01    -2.456563711E+05     1.165280818E+00     1.728297836E-02    -1.754653534E+05    -4.514536761E-01     3.712702068E-02     1.171996838E-02
 1.071642882E-04     4.686099880E+02    -4.094309576E+05     1.376726205E+01    -2.456560740E+05     1.193777503E+00     2.819123791E-02    -1.754649806E+05    -4.807598455E-01     2.045252762E-02     2.383728466E-02
 1.096646806E-04     4.791364623E+02    -4.094306203E+05     1.443325951E+01    -2.456557660E+05     1.226512396E+00     5.779409682E-02    -1.754645925E+05    -5.507127776E-01     7.672322539E-03     3.767960177E-02
 1.122234130E-04     4.899395629E+02    -4.094302966E+05     1.513585448E+01    -2.456554256E+05     1.271052910E+00     4.535391131E-02    -1.754641916E+05    -5.659115184E-01    -1.987624593E-04     5.760186470E-02
 1.148418466E-04     5.009999273E+02    -4.094299616E+05     1.583914505E+01    -2.456550938E+05     1.329025775E+00     6.094216035E-02    -1.754637652E+05    -6.020380298E-01    -1.791071093E-02     7.727911328E-02
 1.175213743E-04     5.122757001E+02    -4.094295812E+05     1.660947235E+01    -2.456547404E+05     1.389982807E+00     9.368258088E-02    -1.754633230E+05    -6.481709294E-01     2.672062082E-02     8.946854190E-02
 1.202634217E-04     5.238300671E+02    -4.094291724E+05     1.741120330E+01    -2.456543780E+05     1.470407336E+00     1.193769874E-01    -1.754628476E+05    -6.911802647E-01     1.055233022E-02     1.024770132E-01
 1.230694474E-04     5.356229891E+02    -4.094287674E+05     1.824539139E+01    -2.456539978E+05     1.551288001E+00     1.406573732E-01    -1.754623533E+05    -7.503249856E-01     2.316549082E-02     1.100142123E-01
 1.259409442E-04     5.476789428E+02    -4.094283204E+05     1.902127713E+01    -2.456535955E+05     1.621067673E+00     1.433472312E-01    -1.754618464E+05    -7.862031645E-01     1.568943447E-02     1.189662344E-01
 1.288794397E-04     5.600200546E+02    -4.094278716E+05     1.991043294E+01    -2.456531704E+05     1.682599691E+00     1.777002372E-01    -1.754613117E+05    -8.117246269E-01     8.351995037E-02     1.177078970E-01
 1.318864972E-04     5.726384579E+02    -4.094273992E+05     2.080937763E+01    -2.456527275E+05     1.763783064E+00     1.771304847E-01    -1.754607550E+05    -8.493762937E-01     9.330036238E-02     8.929897996E-02
 1.349637163E-04     5.855536383E+02    -4.094268942E+05     2.178059644E+01    -2.456522727E+05     1.873597289E+00     1.849989120E-01    -1.754601711E+05    -8.597287484E-01     1.227369011E-01     6.453479201E-02
 1.381127342E-04     5.987260529E+02    -4.094263785E+05     2.280128888E+01    -2.456517758E+05     1.983056882E+00     1.811751060E-01    -1.754595651E+05    -8.891779151E-01     1.936729948E-01     7.154919597E-02
 1.413352259E-04     6.122300478E+02    -4.094258352E+05     2.388257231E+01    -2.456512401E+05     2.095441858E+00     1.830864789E-01    -1.754589184E+05    -8.986172867E-01     2.129583046E-01     6.689242692E-02
 1.446329059E-04     6.260105578E+02    -4.094252701E+05     2.501454122E+01    -2.456507016E+05     2.178408381E+00     1.882326157E-01    -1.754582448E+05    -9.422253490E-01     2.310624385E-01     6.638513410E-02
 1.480075284E-04     6.401153447E+02    -4.094246650E+05     2.621221082E+01    -2.456501346E+05     2.275390281E+00     1.984956725E-01    -1.754575383E+05    -9.894210421E-01     2.442391868E-01     5.798179886E-02
 1.514608887E-04     6.545260946E+02    -4.094240448E+05     2.742880597E+01    -2.456495503E+05     2.371457475E+00     2.099622229E-01    -1.754567989E+05    -1.008788246E+00     2.316314389E-01     5.611145975E-02
 1.549948240E-04     6.692567887E+02    -4.094233925E+05     2.874394028E+01    -2.456489311E+05     2.493724342E+00     1.783022240E-01    -1.754560200E+05    -1.066886268E+00     2.386012514E-01     5.764124978E-02
 1.586112142E-04     6.843280788E+02    -4.094227049E+05     3.004973859E+01    -2.456482996E+05     2.603003675E+00     1.652901370E-01    -1.754552197E+05    -1.114993729E+00     2.076227455E-01     4.094636797E-02
 1.623119832E-04     6.997425475E+02    -4.094219828E+05     3.148978175E+01    -2.456476265E+05     2.746374903E+00     1.874110879E-01    -1.754543628E+05    -1.141006744E+00     1.510604624E-01     3.837189011E-02
 1.660990998E-04     7.155219384E+02    -4.094212117E+05     3.300443712E+01    -2.456469301E+05     2.866318204E+00     1.505073674E-01    -1.754534800E+05    -1.143134989E+00     1.769054253E-01     3.767137930E-02
 1.699745787E-04     7.316017540E+02    -4.094204352E+05     3.454076830E+01    -2.456461980E+05     2.995125065E+00     1.583089410E-01    -1.754525513E+05    -1.161067923E+00     1.170850928E-01     4.699573833E-02
 1.739404814E-04     7.480819320E+02    -4.094196677E+05     3.615166566E+01    -2.456454117E+05     3.107748508E+00     1.794360607E-01    -1.754515797E+05    -1.233578120E+00     1.125631745E-01     5.166658494E-02
 1.779989180E-04     7.649387669E+02    -4.094188083E+05     3.780002976E+01    -2.456446125E+05     3.205393073E+00     2.094329885E-01    -1.754505644E+05    -1.307806922E+00     8.974538272E-02     6.612985073E-02
